field,required_for_round69_backfill
case_id,true
symbol,true
company_name,true
primary_archetype,true
secondary_archetypes,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
peak_date,true
MFE_30D,true
MFE_90D,true
MFE_180D,true
MFE_1Y,true
MFE_2Y,true
MAE_30D,true
MAE_90D,true
MAE_180D,true
MAE_1Y,true
drawdown_after_peak,true
below_stage2_price_flag,true
below_stage3_price_flag,true
ev_demand_indicator,true
ev_sales_growth,true
ev_subsidy_change_flag,true
ev_tax_credit_expiry_flag,true
automaker_ev_cutback_flag,true
ev_model_discontinued_flag,true
plant_idle_flag,true
layoff_furlough_flag,true
contract_cancelled_flag,true
capacity_utilization,true
capex_amount,true
capex_to_revenue,true
capex_cut_flag,true
ess_contract_value,true
ess_contract_duration_months,true
ess_contract_customer,true
ess_contract_volume_gwh,true
ess_capacity_gwh,true
ess_capacity_utilization,true
ess_margin,true
ess_revenue_growth,true
lfp_ess_flag,true
grid_storage_flag,true
data_center_storage_flag,true
battery_material_contract_value,true
battery_material_contract_duration,true
price_pass_through_flag,true
raw_material_price_change,true
lithium_price_change,true
nickel_price_change,true
cobalt_price_change,true
black_mass_price,true
metal_recovery_revenue,true
recycling_volume,true
recovered_material_volume,true
recovery_rate,true
pCAM_output,true
recycling_customer_contract,true
second_life_battery_flag,true
soh_validation_flag,true
battery_passport_compliance_flag,true
battery_grading_cost,true
waste_treatment_volume,true
waste_treatment_capacity,true
permit_asset_flag,true
recurring_fcf_flag,true
waste_to_energy_flag,true
plastic_recycling_revenue,true
catchment_area_population_share,true
hydrogen_capex_amount,true
hydrogen_plant_completion_date,true
fuel_cell_capacity,true
electrolyzer_capacity,true
hydrogen_customer_contract,true
hydrogen_subsidy_dependency,true
hydrogen_capacity_utilization,true
solar_tariff_event,true
customs_detention_flag,true
uflpa_flag,true
feoc_flag,true
component_delay_flag,true
solar_capacity_utilization,true
furlough_layoff_flag,true
wind_project_delay_flag,true
wind_project_impairment,true
financing_cost_change,true
foundation_cost_increase,true
permitting_delay_flag,true
grid_connection_delay_flag,true
carbon_credit_price,true
cbam_exposure,true
carbon_accounting_revenue,true
pass_through_ability,true
ev_fire_event_flag,true
battery_certification_flag,true
battery_supplier_disclosure_flag,true
recall_flag,true
insurance_cost_change,true
underground_parking_regulation_flag,true
overcharge_prevention_charger_flag,true
score_price_alignment,true
price_validation_status,true
review_notes,true
